Actual entry mile post,Actual exit mile post,Note
13.74,29.22,Northbound (total)
28.89,13.7,Southbound (total)
22.31,13.7,Southbound (2lane HOT)
13.74,21.83,Northbound (2lane HOT)
28.89,22.31,Southbound (1lane HOT)
21.83,29.22,Northbound (1lane HOT)
