tod,entry,exit,trip_id,reliability
510,8,9,08_09,0
510,8,10,08_10,0
510,8,11,08_11,0
510,8,12,08_12,0
510,9,9,09_09,0
510,9,10,09_10,0
510,9,11,09_11,0
510,9,12,09_12,0
510,10,10,10_10,0
510,10,11,10_11,0
510,10,12,10_12,0
510,11,11,11_11,0
510,11,12,11_12,0
510,12,12,12_12,0
510,13,13,13_13,0
510,13,14,13_14,0
510,13,15,13_15,0
510,13,16,13_16,0
510,13,17,13_17,0
510,13,18,13_18,0
510,13,20,13_20,0
510,13,21,13_21,0
510,13,22,13_22,0
510,13,23,13_23,0
510,14,14,14_14,0
510,14,15,14_15,0
510,14,16,14_16,0
510,14,17,14_17,0
510,14,18,14_18,0
510,14,20,14_20,0
510,14,21,14_21,0
510,14,22,14_22,0
510,14,23,14_23,0
510,15,15,15_15,0
510,15,16,15_16,0
510,15,17,15_17,0
510,15,18,15_18,0
510,15,20,15_20,0
510,15,21,15_21,0
510,15,22,15_22,0
510,15,23,15_23,0
510,16,16,16_16,0
510,16,17,16_17,0
510,16,18,16_18,0
510,16,20,16_20,0
510,16,21,16_21,0
510,16,22,16_22,0
510,16,23,16_23,0
510,17,17,17_17,0
510,17,18,17_18,0
510,17,20,17_20,0
510,17,21,17_21,0
510,17,22,17_22,0
510,17,23,17_23,0
510,18,21,18_21,0
510,19,19,19_19,0
510,19,20,19_20,0
510,19,21,19_21,0
510,19,22,19_22,0
510,19,23,19_23,0
510,20,20,20_20,0
510,20,21,20_21,0
510,20,22,20_22,0
510,20,23,20_23,0
510,21,21,21_21,0
510,21,22,21_22,0
510,21,23,21_23,0
510,22,22,22_22,0
510,23,23,23_23,0
515,3,3,03_03,0
515,3,5,03_05,0
515,3,6,03_06,0
515,3,7,03_07,0
515,3,9,03_09,0
515,3,10,03_10,0
515,3,11,03_11,0
515,3,12,03_12,0
515,4,4,04_04,0
515,4,5,04_05,0
515,4,6,04_06,0
515,4,7,04_07,0
515,4,9,04_09,0
515,4,10,04_10,0
515,4,11,04_11,0
515,4,12,04_12,0
515,5,5,05_05,0
515,5,6,05_06,0
515,5,7,05_07,0
515,5,9,05_09,0
515,5,10,05_10,0
515,5,11,05_11,0
515,5,12,05_12,0
515,6,6,06_06,0
515,6,7,06_07,0
515,6,9,06_09,0
515,6,10,06_10,0
515,6,11,06_11,0
515,6,12,06_12,0
515,7,7,07_07,0
515,8,8,08_08,0
515,8,9,08_09,0
515,8,10,08_10,0
515,8,11,08_11,0
515,8,12,08_12,0
515,9,9,09_09,0
