fips,is_hov,trips,users,revenue,am_peak_trips,pm_peak_trips,rev_comm_trips,off_peak_trips,vmt,savings,reliability,savings_benefit,reliability_benefit,total_benefit,net_benefit,county,tract,households,population,mean_inc,race_nonhisp_asian,race_nonhisp_white
530330001001,0,11,8,18.25,4,3,0,4,58.2,0.45044444444444404,0.2638250000000001,23.95574693274133,6.987896230615017,30.94364316335635,12.693643163356349,King,53033000100,608,1265,170745.87171052632,0.0766798418972332,0.8774703557312253
530330001001,1,2,1,0,0,0,2,0,9.43,0.39991666666666803,0.17737499999999998,21.268555043825756,4.698107055454707,25.966662099280462,25.966662099280462,King,53033000100,608,1265,170745.87171052632,0.0766798418972332,0.8774703557312253
530330001002,0,5,2,22.5,2,2,0,0,24.93,0.510861111111111,0.08280833333333329,27.168854331527264,2.193332854594945,29.36218718612221,6.86218718612221,King,53033000100,758,1534,59597.316622691294,0.07692307692307693,0.5013037809647979
530330001002,1,7,5,0,0,3,1,3,63.03,1.7294166666666655,1.1123833333333333,91.97464530621257,29.46354326541823,121.4381885716308,121.4381885716308,King,53033000100,758,1534,59597.316622691294,0.07692307692307693,0.5013037809647979
530330001003,0,12,11,21.5,1,3,4,4,69.31,0.6608333333333322,0.28590277777777773,35.1447471343066,7.572667272455965,42.717414406762565,21.217414406762565,King,53033000100,724,1817,80377.15331491713,0.13538800220143093,0.5976884975233901
530330001004,0,20,14,66.75,5,4,6,4,122.3,1.822472222222223,0.5222194444444446,96.92356934572202,13.831954088457126,110.75552343417914,44.00552343417914,King,53033000100,1052,2270,42035.998098859316,0.14052863436123347,0.2854625550660793
530330001004,1,18,8,0,2,8,3,4,85.4,3.522638888888888,1.4437666666666675,187.34262748369474,38.240847713020415,225.58347519671514,225.58347519671514,King,53033000100,1052,2270,42035.998098859316,0.14052863436123347,0.2854625550660793
530330001005,0,2,2,8.75,0,0,0,2,16.48,0.195194444444444,0.024066666666666715,10.3809221569051,0.6374504663449952,11.018372623250096,2.2683726232500963,King,53033000100,637,1077,56330.31240188383,0.24698235840297122,0.6350974930362117
530330001005,1,5,3,0,0,2,0,3,33.02,0.963833333333334,0.3282055555555553,51.25903472325235,8.69313508778005,59.9521698110324,59.9521698110324,King,53033000100,637,1077,56330.31240188383,0.24698235840297122,0.6350974930362117
530330002001,0,1,1,0.75,0,0,0,1,6.55,0.0650277777777778,0.04719444444444448,3.4583376646242923,1.2500327127425503,4.708370377366842,3.958370377366842,King,53033000200,545,1183,90865.25321100917,0.07438715131022823,0.7032967032967034
530330002001,1,4,2,0,2,2,0,0,17.830000000000002,1.096666666666669,0.3641250000000003,58.323439128307264,9.644528437307663,67.96796756561493,67.96796756561493,King,53033000200,545,1183,90865.25321100917,0.07438715131022823,0.7032967032967034
530330002002,0,9,7,28,1,3,0,5,63.550000000000004,0.7523333333333327,0.21448055555555556,40.01094289136447,5.680916765685136,45.691859657049605,17.691859657049605,King,53033000200,444,908,62936.261261261265,0.21035242290748898,0.5814977973568282
530330002002,1,1,1,0,0,0,0,1,8.39,0.0638888888888888,0.05523888888888889,3.3977687435437245,1.4631047984460468,4.860873541989771,4.860873541989771,King,53033000200,444,908,62936.261261261265,0.21035242290748898,0.5814977973568282
530330002003,0,8,8,24.5,0,2,2,4,40.95,0.1622500000000004,0.17946111111111113,8.628855317843032,4.753361591491768,13.382216909334801,-11.117783090665199,King,53033000200,860,1766,57818.018604651166,0.18006795016987542,0.543035107587769
530330002003,1,5,3,0,0,3,0,2,74.55,1.885833333333335,0.7859750000000005,100.2932695648626,20.818010953691424,121.11128051855403,121.11128051855403,King,53033000200,860,1766,57818.018604651166,0.18006795016987542,0.543035107587769
530330002004,0,14,7,59.5,6,3,1,4,140.31,1.8402499999999995,0.6710277777777777,97.86903543088194,17.773419800895677,115.64245523177762,56.14245523177762,King,53033000200,558,1130,72295.69892473119,0.384070796460177,0.49380530973451325
530330002004,1,2,1,0,1,0,0,1,6.23,0.06986111111111104,0.06521666666666667,3.715386256527161,1.7273848163490038,5.442771072876164,5.442771072876164,King,53033000200,558,1130,72295.69892473119,0.384070796460177,0.49380530973451325
530330002005,0,9,6,26,1,4,1,2,39.61,0.3705277777777779,0.2720305555555556,19.705581421795575,7.205235644001802,26.910817065797378,0.910817065797378,King,53033000200,723,1594,86225.91977869986,0.07590966122961104,0.6662484316185696
530330002005,1,1,1,0,0,0,0,1,12.24,0.0429444444444446,0.05808333333333332,2.2838915119646193,1.5384452044406534,3.822336716405273,3.822336716405273,King,53033000200,723,1594,86225.91977869986,0.07590966122961104,0.6662484316185696
530330002006,0,3,3,15.5,1,1,0,1,19.9,0.4283611111111116,0.06237499999999997,22.781300780081697,1.652117984969625,24.43341876505132,8.933418765051321,King,53033000200,524,1392,121537.00763358778,0.11063218390804598,0.7931034482758621
530330002006,1,3,2,0,1,1,0,1,36.15,1.1149166666666652,0.3156388888888893,59.294019156354125,8.360283528483581,67.6543026848377,67.6543026848377,King,53033000200,524,1392,121537.00763358778,0.11063218390804598,0.7931034482758621
530330003001,0,10,8,23.75,5,1,1,2,73.97,0.6406388888888886,0.15226388888888898,34.07075675319522,4.032992533783571,38.10374928697879,14.35374928697879,King,53033000300,487,1255,107489.33264887064,0.08525896414342629,0.7888446215139442
530330003001,1,5,3,0,1,0,0,4,20.790000000000003,0.004277777777777798,0.11780833333333343,0.22750277674162467,3.120373006481713,3.3478757832233375,3.3478757832233375,King,53033000300,487,1255,107489.33264887064,0.08525896414342629,0.7888446215139442
